n_val	Epoch	Time(sec)	Loss_train	AUC_dev	AUC_test	Precision_test	Recall_test
0	1	471.0127873	12825.82003	0.724042176	0.710300609	0.606818182	0.741666667
0	2	946.7462393	6349.44609	0.742592888	0.722131849	0.610983982	0.741666667
0	3	1418.667151	73055.71178	0.776905015	0.740148402	0.616291533	0.798611111
0	4	1891.922102	11920.04659	0.769618406	0.714221842	0.602693603	0.745833333
0	5	2367.48072	874116.8863	0.791655148	0.737030061	0.618311534	0.722222222
0	6	2842.665383	5033.637741	0.815051686	0.76252188	0.639306358	0.768055556
0	7	3320.332787	5077.362228	0.82275031	0.783923135	0.682926829	0.738888889
0	8	3793.571684	9994.945135	0.823469195	0.787225076	0.691719745	0.754166667
0	9	4270.410021	570849.8932	0.832651072	0.79358828	0.713296399	0.715277778
0	10	4746.202437	4321.697796	0.831718648	0.791042618	0.698717949	0.756944444
0	11	5221.070773	4078.171735	0.844732707	0.805365297	0.726648352	0.734722222
0	12	5699.05824	3905.104198	0.848849312	0.812447679	0.723719677	0.745833333
0	13	6175.2119	3735.077327	0.850068226	0.806387938	0.696233293	0.795833333
0	14	6648.46647	3640.040512	0.848106504	0.806875951	0.719787517	0.752777778
0	15	7124.791465	3265.749012	0.858310001	0.815193113	0.724637681	0.763888889
0	16	7600.855306	3105.031808	0.860931538	0.815379566	0.716883117	0.766666667
0	17	8072.11592	3023.596281	0.859480182	0.814082953	0.717447917	0.765277778
0	18	8547.410413	2803.249023	0.864306811	0.817296423	0.719433719	0.776388889
0	19	9020.10216	2710.837656	0.865405222	0.814308409	0.715374841	0.781944444
0	20	9492.52617	2629.2673	0.865510367	0.812160388	0.729693742	0.761111111
0	21	9968.41288	2613.629961	0.865822848	0.811793189	0.718045113	0.795833333
0	22	10449.82506	2539.869678	0.867638667	0.813782344	0.723735409	0.775
0	23	10929.22415	2501.473996	0.86736724	0.811517314	0.717852684	0.798611111
0	24	11408.8222	2352.785505	0.867423652	0.808413242	0.72516129	0.780555556
1	1	476.8403445	16694.85191	0.728466935	0.710474696	0.645112782	0.595833333
1	2	955.7795409	35507951.21	0.749893902	0.700144597	0.584615385	0.738888889
1	3	1431.94434	9333.795333	0.771774222	0.736531583	0.623255814	0.744444444
1	4	1903.256016	5918.256809	0.773596794	0.726586758	0.618581907	0.702777778
1	5	2377.347048	6161.468097	0.76568854	0.731864536	0.595358224	0.819444444
1	6	2851.339915	5495.065389	0.804891716	0.750993151	0.618522602	0.779166667
1	7	3329.469334	5452.910117	0.810813079	0.75608828	0.6156283	0.809722222
1	8	3805.524167	5023.419768	0.823217326	0.772732116	0.634254144	0.797222222
1	9	4279.209687	4917.08188	0.826478272	0.792596081	0.632829374	0.813888889
1	10	4757.250235	5496.774166	0.831829547	0.780302511	0.64664311	0.7625
1	11	5229.129692	4666.777021	0.839650026	0.788252473	0.672090113	0.745833333
1	12	5704.00564	4535.577713	0.84328128	0.793620624	0.68427673	0.755555556
1	13	6176.598249	3854397.577	0.850838732	0.807209855	0.712962963	0.748611111
1	14	6651.453949	4467.18361	0.862085363	0.79776446	0.69201995	0.770833333
1	15	7126.575763	4121.148987	0.854030819	0.812237443	0.708974359	0.768055556
1	16	7598.973997	3812.09965	0.870432488	0.814765982	0.695121951	0.791666667
1	17	8078.13195	17772.07631	0.871614337	0.821246195	0.715517241	0.806944444
1	18	8550.400951	3442.070929	0.867717396	0.815178843	0.736625514	0.745833333
1	19	9027.105984	3572.903365	0.87578258	0.830349125	0.75464191	0.790277778
1	20	9506.209541	3075.230468	0.878900783	0.827555175	0.748021108	0.7875
1	21	9983.63731	3013.38537	0.87498611	0.836440259	0.750666667	0.781944444
1	22	10459.28185	2774.543766	0.874422818	0.82972032	0.753369272	0.776388889
1	23	10928.95156	2605.09512	0.877536292	0.832788242	0.751329787	0.784722222
1	24	11408.35908	2537.981691	0.878066188	0.837381088	0.752	0.783333333
1	25	11883.69419	2482.783674	0.875759233	0.834980974	0.751329787	0.784722222
1	26	12356.3073	2397.492763	0.87760397	0.834980023	0.752330226	0.784722222
1	27	12827.93239	2363.697083	0.876574617	0.835176941	0.75198939	0.7875
1	28	13302.85755	2310.421818	0.877112493	0.835743912	0.752317881	0.788888889
1	29	13779.20565	2294.641103	0.87671943	0.83530917	0.754010695	0.783333333
1	30	14254.81375	2265.264087	0.876715883	0.835677321	0.750993377	0.7875
2	1	474.8468602	7144.120531	0.701265289	0.693476027	0.598876404	0.740277778
2	2	949.8139169	27492.14533	0.735931969	0.712929985	0.605988024	0.702777778
2	3	1423.282639	6095.708571	0.774091839	0.73206621	0.604102564	0.818055556
2	4	1899.240157	95444416457	0.77637717	0.726078767	0.612612613	0.755555556
2	5	2373.895417	442530.2124	0.795220482	0.741769406	0.613407821	0.7625
2	6	2849.382914	5491.758052	0.79201118	0.747353501	0.613122172	0.752777778
2	7	3323.131344	5236.090181	0.80894758	0.760186454	0.63027027	0.809722222
2	8	3799.632384	413027.3303	0.827478259	0.78766933	0.689613527	0.793055556
2	9	4275.421417	5016.477205	0.832864434	0.781310883	0.683804627	0.738888889
2	10	4752.440022	8679375.132	0.834019841	0.783812785	0.687580026	0.745833333
2	11	5225.874928	4642.985227	0.843681528	0.793120244	0.683435583	0.773611111
2	12	5691.49463	4653.485093	0.842035094	0.779162861	0.675958188	0.808333333
2	13	6167.512928	4461.024634	0.861354023	0.809640411	0.690821256	0.794444444
2	14	6641.960215	4178.147674	0.867218481	0.802762557	0.690505549	0.777777778
2	15	7115.007233	4004.636182	0.865011679	0.804098174	0.691283293	0.793055556
2	16	7588.550315	3672.976244	0.875021558	0.809335997	0.703465982	0.761111111
2	17	8063.610362	3482.95074	0.874856204	0.808314307	0.691937425	0.798611111
2	18	8534.528098	3182.603964	0.879335595	0.811325152	0.711286089	0.752777778
2	19	9010.332261	3248.80771	0.882416287	0.815111301	0.705882353	0.766666667
2	20	9486.58554	2983.353099	0.881703899	0.814127664	0.71761658	0.769444444
2	21	9962.964667	2843.680204	0.882722993	0.817409627	0.725260417	0.773611111
2	22	10438.86035	2776.676095	0.884349276	0.813984018	0.714285714	0.770833333
2	23	10916.1902	2731.171078	0.884182144	0.812834855	0.705665025	0.795833333
2	24	11392.62962	2628.614445	0.884342757	0.813956431	0.718709677	0.773611111
2	25	11867.18757	2593.276693	0.884205258	0.812780632	0.718911917	0.770833333
2	26	12341.09657	2536.185089	0.884368242	0.81233828	0.71722365	0.775
