n_val	Epoch	Time(sec)	Loss_train	AUC_dev	AUC_test	Precision_test	Recall_test
0	1	281.5187372	903223.5756	0.96751735	0.963957349	0.896725441	0.931937173
0	2	598.6428361	2882.48451	0.973834396	0.972566296	0.942622951	0.903141361
0	3	911.8158737	44533636.44	0.975100439	0.974832929	0.928191489	0.913612565
0	4	1191.972069	687471.8988	0.976373063	0.976861902	0.926315789	0.921465969
0	5	1484.327681	2177.518533	0.976645142	0.976205678	0.883495146	0.952879581
0	6	1788.415983	969.4174408	0.971530507	0.97597866	0.910485934	0.931937173
0	7	2093.785741	1257.035662	0.975849751	0.978369443	0.903225806	0.952879581
0	8	2374.585292	452.4402995	0.978426816	0.980813434	0.925831202	0.947643979
0	9	2661.061923	699.3231705	0.973226608	0.980398417	0.905472637	0.952879581
0	10	2965.29059	371.5216735	0.979905694	0.987130918	0.930946292	0.952879581
0	11	3249.024277	239.9369281	0.979593023	0.984963606	0.880952381	0.968586387
0	12	3561.986552	142.9129284	0.978110854	0.985435378	0.921717172	0.955497382
0	13	3846.177195	80.58911413	0.977726873	0.985868131	0.915	0.958115183
0	14	4126.262425	53.59354172	0.978460826	0.986010017	0.933333333	0.952879581
0	15	4426.722927	40.44359039	0.978212884	0.986109338	0.933673469	0.958115183
0	16	4710.685331	29.00196374	0.977161871	0.986024206	0.933673469	0.958115183
0	17	4993.799642	22.35237691	0.977170648	0.986017111	0.93129771	0.958115183
1	1	310.2541473	40502.93451	0.963727892	0.966174321	0.965217391	0.871727749
1	2	589.5359783	1514.652728	0.980805234	0.981838562	0.941952507	0.934554974
1	3	881.415799	874.489802	0.984186106	0.984342854	0.926208651	0.952879581
1	4	1178.376956	760.3188402	0.964493187	0.969253253	0.874109264	0.963350785
1	5	1460.082714	445.5756057	0.984043776	0.981561884	0.927135678	0.965968586
1	6	1746.602097	348.1854884	0.983277387	0.982445125	0.922885572	0.971204188
1	7	2027.010883	250.0694897	0.984447773	0.985077115	0.9325	0.976439791
1	8	2295.961871	151.9965938	0.985932378	0.986666241	0.955263158	0.95026178
1	9	2575.75672	115.613718	0.98820308	0.986265412	0.950649351	0.958115183
1	10	2854.630745	104.3433023	0.98668125	0.986336356	0.949868074	0.942408377
1	11	3110.675963	63.23491325	0.985364155	0.983218405	0.952380952	0.942408377
1	12	3356.230729	36.13295608	0.98585355	0.980724755	0.95026178	0.95026178
1	13	3631.800685	31.94852922	0.984984245	0.980054342	0.95026178	0.95026178
