n_val	Epoch	Time(sec)	Loss_train	AUC_dev	AUC_test	Precision_test	Recall_test
0	1	266.4795786	11166.84299	0.952372168	0.9447921	0.880597015	0.907692308
0	2	534.4518849	1007.970803	0.965731392	0.96472973	0.969924812	0.793846154
0	3	803.8732047	865310.9386	0.963752427	0.957785863	0.896875	0.883076923
0	4	1073.267215	546.0757304	0.968216828	0.965384615	0.891566265	0.910769231
0	5	1349.39247	520.3151277	0.968847896	0.967172557	0.819843342	0.966153846
0	6	1617.973537	433.3943512	0.96731877	0.97	0.847411444	0.956923077
0	7	1890.220957	316.6642352	0.969409385	0.971538462	0.917431193	0.923076923
0	8	2160.154897	658.4985405	0.971309061	0.967671518	0.914893617	0.926153846
0	9	2427.747858	267.5877343	0.97268932	0.971268191	0.907185629	0.932307692
0	10	2698.973208	148.3886885	0.972762136	0.972224532	0.867977528	0.950769231
1	1	271.0265858	1914.160036	0.963690677	0.960301455	0.916129032	0.873846154
1	2	540.282451	878.6142965	0.97378463	0.972993763	0.912912913	0.935384615
1	3	806.8149964	1397.491519	0.966520517	0.966897089	0.938511327	0.892307692
1	4	1074.281232	466.5985808	0.974240745	0.973768191	0.88700565	0.966153846
1	5	1343.781226	297.1591523	0.970232073	0.964828482	0.918181818	0.932307692
1	6	1612.419789	408.3881806	0.97046013	0.963487526	0.874651811	0.966153846
1	7	1880.371984	128.1463549	0.970394283	0.965701663	0.886363636	0.96
2	1	270.258327	23071.9037	0.968308417	0.958690229	0.862464183	0.926153846
2	2	540.1341039	950.7750553	0.972742982	0.970093555	0.878962536	0.938461538
2	3	807.9803392	694.2206427	0.967823211	0.966496881	0.931596091	0.88
2	4	1081.088963	17765.37883	0.9759202	0.973742204	0.913846154	0.913846154
2	5	1349.335157	1948694.263	0.973399059	0.972910603	0.948387097	0.904615385
2	6	1619.676419	244.5214592	0.973956805	0.974209979	0.891812865	0.938461538
2	7	1889.022663	215.7297179	0.975143225	0.97527027	0.894736842	0.941538462
2	8	2157.169938	201.5588198	0.976739088	0.975852391	0.90504451	0.938461538
2	9	2431.708961	219.9928234	0.972576948	0.974085239	0.915407855	0.932307692
2	10	2698.902485	135.4535378	0.973089559	0.973762994	0.921212121	0.935384615
2	11	2961.641402	114.8668735	0.974556463	0.973430353	0.915915916	0.938461538
2	12	3228.032107	98.36321286	0.9736602	0.974282744	0.921686747	0.941538462
2	13	3496.108762	43.40828647	0.969907504	0.971606029	0.911242604	0.947692308
2	14	3765.283938	23.7232848	0.972639815	0.974074844	0.935384615	0.935384615
2	15	4031.727243	9.929081757	0.967671684	0.970239085	0.919161677	0.944615385
2	16	4297.25084	4.544627933	0.969593168	0.971465696	0.924012158	0.935384615
2	17	4566.89243	4.713996518	0.967246121	0.97049896	0.91641791	0.944615385
2	18	4834.815549	2.255216024	0.968153667	0.970634096	0.921212121	0.935384615
2	19	5101.799567	0.73096162	0.966669031	0.969641372	0.921686747	0.941538462
2	20	5366.427163	0.813867451	0.967739388	0.970504158	0.923780488	0.932307692
2	21	5629.84715	0.367357445	0.966619059	0.970218295	0.921212121	0.935384615
2	22	5891.726949	0.348674983	0.967088146	0.970244283	0.921212121	0.935384615
2	23	6149.941464	0.314895182	0.966420786	0.970036383	0.921212121	0.935384615
2	24	6405.653033	0.256453886	0.966641627	0.97016632	0.921212121	0.935384615
2	25	6661.946061	0.242626437	0.96670933	0.969870062	0.924012158	0.935384615
3	1	258.851236	10371336.9	0.959364612	0.952723493	0.86627907	0.916923077
3	2	514.6172054	1242593298	0.965138377	0.958487526	0.922033898	0.836923077
3	3	770.939927	711.4638282	0.96912767	0.96014553	0.825737265	0.947692308
3	4	1024.204869	604.2559108	0.971372755	0.958721414	0.917721519	0.892307692
3	5	1280.173387	2747.403445	0.968030896	0.952453222	0.894409938	0.886153846
3	6	1531.185965	497.2831403	0.969966759	0.961486486	0.883928571	0.913846154
3	7	1781.043986	406.8577616	0.970449919	0.959870062	0.902140673	0.907692308
3	8	2034.254224	382.4316027	0.969831474	0.960181913	0.922580645	0.88
3	9	2298.834531	306.6343174	0.96939824	0.958336798	0.861581921	0.938461538
3	10	2556.024916	226.4823088	0.970029569	0.957697505	0.880813953	0.932307692
3	11	2809.069049	176.8042133	0.971754452	0.95991684	0.897280967	0.913846154
3	12	3064.867892	117.7760385	0.971073196	0.957089397	0.867605634	0.947692308
3	13	3324.768913	80.81742877	0.969448167	0.959225572	0.896142433	0.929230769
3	14	3577.285629	31.12506965	0.968555931	0.959074844	0.869688385	0.944615385
3	15	3841.65011	22.92221688	0.968731479	0.959137214	0.877142857	0.944615385
3	16	4099.255159	18.66751498	0.968815227	0.959183992	0.88856305	0.932307692
4	1	266.2382676	476446.4131	0.946886683	0.944074844	0.933098592	0.815384615
4	2	520.2634687	14473.07535	0.96093745	0.959199584	0.856338028	0.935384615
4	3	773.0351527	13380.19994	0.961426579	0.956548857	0.920382166	0.889230769
4	4	1029.46858	615.8011771	0.963504168	0.964355509	0.913580247	0.910769231
4	5	1286.383681	1468.433412	0.963184539	0.962286902	0.897280967	0.913846154
4	6	1545.444113	829.7709275	0.967455946	0.963898129	0.91588785	0.904615385
4	7	1802.114842	337.9894202	0.969041177	0.959838877	0.907692308	0.907692308
4	8	2060.231913	523.7493561	0.970255122	0.964797297	0.89212828	0.941538462
4	9	2319.545897	219.8616163	0.973546656	0.966060291	0.938311688	0.889230769
4	10	2574.048736	203.3640953	0.963888369	0.959048857	0.832446809	0.963076923
4	11	2828.409101	113.9566203	0.970242208	0.963809771	0.913173653	0.938461538
4	12	3087.886862	82.62981608	0.964251584	0.962172557	0.873239437	0.953846154
4	13	3344.351148	54.51470279	0.960682392	0.957567568	0.916167665	0.941538462
4	14	3612.810545	229.8493111	0.960141605	0.957557173	0.910979228	0.944615385
4	15	3875.219781	79.57668757	0.958393331	0.95970894	0.919161677	0.944615385
4	16	4132.840727	20.46147513	0.957160015	0.959438669	0.920731707	0.929230769
4	17	4400.068331	17.29957451	0.957040557	0.960202703	0.921212121	0.935384615
4	18	4659.175015	15.44860005	0.956711243	0.96035343	0.921212121	0.935384615
4	19	4915.360324	14.80281397	0.956653128	0.96033264	0.921212121	0.935384615
0.979698545	0.908554572	0.947692308					
