Epoch	Time(sec)	Loss_train	AUC_dev	PRC_dev	AUC_test	PRC_test
1	7660.859827	35907.24858	0.743380382	0.453486933	0.731862405	0.379534036
2	15237.4468	33275.28884	0.751442669	0.47705324	0.74219355	0.414837011
3	22744.05017	70311.10342	0.761365668	0.495006373	0.725675082	0.398472659
4	30137.12306	32534.26814	0.771647199	0.493508236	0.737134756	0.401036066
5	37538.39875	32003.18947	0.765461119	0.488377034	0.72181578	0.415443662
6	44972.86361	30567.43937	0.806682956	0.567115414	0.710099158	0.407512247
7	52248.49796	29640.76916	0.807562667	0.563458468	0.702582513	0.370018709
8	59659.6243	29212.12608	0.815855537	0.594792825	0.713612714	0.375911946
9	66985.26311	28895.18097	0.821488933	0.601823216	0.698481535	0.348171768
10	74403.00762	28453.59999	0.824759984	0.601588705	0.690654455	0.342323886

